"country_code","city_name","geonameid"
"AR","Balnearia","3864888"
"AR","Carnerillo","3862575"
"AR","Corralito","3860079"
"AR","El Aranado","3858909"
"AR","Huinca Renanco","3853974"
"AR","La Cumbre","3851798"
"AR","Las Acequias","3848863"
"AR","Los Surgentes","3845575"
"AR","Monte Buey","3843881"
"AR","Pascanas","3841912"
"AR","Rio Tercero","3838793"
"AR","San Francisco","3837675"
"AR","Saturnino M. Laspiur","3835691"
"AR","Viamonte","3832957"
"AR","Villa Dolores","3832756"
"AR","Villa Valeria","3832602"
"AR","Alejo Ledesma","3866353"
"AR","Bell Ville","3864331"
"AR","Charras","3861666"
"AR","Costa Sacate","3859951"
"AR","Elena","3858088"
"AR","Idiazabal","3853923"
"AR","La Falda","3851331"
"AR","Las Higueras","3848343"
"AR","Malagueno","3845202"
"AR","Monte Cristo","3843871"
"AR","Pilar","3841149"
"AR","Sacanta","3838460"
"AR","San Francisco del Chanar","3837625"
"AR","Sebastian Elcano","3835582"
"AR","Vicuna Mackenna","3832917"
"AR","Villa General Belgrano","3832734"
"AR","Villa de Soto","3832759"
"AR","Almafuerte","3866237"
"AR","Berrotaran","3864274"
"AR","Chazon","3861595"
"AR","Cruz Alta","3859839"
"AR","Embalse","3856235"
"AR","Inriville","3853748"
"AR","La Francia","3851181"
"AR","Las Junturas","3848242"
"AR","Malvinas Argentinas","3845073"
"AR","Monte Maiz","3843830"
"AR","Piquillin","3841035"
"AR","Salsacate","3838237"
"AR","San Jose de la Dormida","3837239"
"AR","Serrano","3835351"
"AR","Villa Allende","3832815"
"AR","Villa Huidobro","3832719"
"AR","Villa del Totoral","3832763"
"AR","Alta Gracia","3866163"
"AR","Brinkmann","3863833"
"AR","Cintra","3861059"
"AR","Cruz del Eje","3859828"
"AR","General Cabrera","3855124"
"AR","Italo","3853616"
"AR","La Para","3849557"
"AR","Las Perdices","3847911"
"AR","Marcos Juarez","3844899"
"AR","Morrison","3843647"
"AR","Portena","3840762"
"AR","Salsipuedes","3838235"
"AR","Santa Eufemia","3836284"
"AR","Serrezuela","3835348"
"AR","Villa Ascasubi","3832806"
"AR","Villa Las Rosas","3832705"
"AR","Wenceslao Escalante","3832398"
"AR","Altos de Chipion","3866028"
"AR","Buchardo","3863821"
"AR","Colonia La Tordilla","3860757"
"AR","Dean Funes","3859512"
"AR","General Levalle","3855098"
"AR","James Craik","3853562"
"AR","La Playosa","3849388"
"AR","Las Varas","3847617"
"AR","Marull","3844759"
"AR","Morteros","3843619"
"AR","Pozo del Molle","3840470"
"AR","Sampacho","3838201"
"AR","Santa Magdalena","3836170"
"AR","Tancacha","3834665"
"AR","Villa Berna","7304381"
"AR","Villa Maria","3832694"
"AR","Arias","3865474"
"AR","Camilo Aldao","3863314"
"AR","Cordoba","3860259"
"AR","Del Campillo","3859500"
"AR","General Roca","3855066"
"AR","Jesus Maria","3853510"
"AR","Laborde","3852480"
"AR","Las Varillas","3847613"
"AR","Mattaldi","3844679"
"AR","Noetinger","3843026"
"AR","Quilino","3839588"
"AR","San Agustin","3838174"
"AR","Santa Rosa de Calamuchita","3835943"
"AR","Tio Pujio","3834339"
"AR","Villa Carlos Paz","3832791"
"AR","Villa Nueva","3832662"
"AR","Chavarria","3435444"
"AR","Ita Ibate","3433373"
"AR","Paso de la Patria","3430105"
"AR","Santa Rosa","3428182"
"AR","Concepcion","3435273"
"AR","Itati","3433363"
"AR","Paso de los Libres","3430104"
"AR","Santo Tome","3428071"
"AR","Corrientes","3435217"
"AR","Juan Pujol","3433291"
"AR","Pedro R. Fernandez","3430064"
"AR","Yapeyu","3427279"
"AR","Curuzu Cuatia","3435103"
"AR","Libertad","3431367"
"AR","San Carlos","3429210"
"AR","Esquina","8051354"
"AR","Lomas de Vallejos","3431272"
"AR","San Lorenzo","3428759"
"AR","Garruchos","3433842"
"AR","Mercedes","3430709"
"AR","San Luis del Palmar","3428708"
"AR","Alvear","3436370"
"AR","Gobernador Virasoro","0"
"AR","Mocoreta","3430648"
"AR","San Miguel","3428644"
"AR","Bonpland","3435988"
"AR","Goya","3433715"
"AR","Monte Caseros","3430598"
"AR","Santa Lucia","3428287"
"AR","Chajari","3435486"
"AR","General Galarza","3433809"
"AR","La Paz","3432079"
"AR","Pronunciamiento","3429843"
"AR","Santa Elena","3428359"
"AR","Villa Elisa","3427443"
"AR","Concepcion del Uruguay","3435264"
"AR","General Ramirez","3855067"
"AR","Larroque","3431916"
"AR","Puerto Ibicuy","3429778"
"AR","Sauce de Luna","3427994"
"AR","Villa Hernandarias","3427420"
"AR","Concordia","3435261"
"AR","Gobernador Mansilla","3433747"
"AR","Los Charruas","3431188"
"AR","Puerto Yerua","3429710"
"AR","Segui","3835402"
"AR","Villa Mantero","3427404"
"AR","Aldea San Antonio","3436433"
"AR","Crespo","3859904"
"AR","Gualeguay","3433663"
"AR","Los Conquistadores","3431184"
"AR","Rosario del Tala","3429439"
"AR","Tabossi","3427885"
"AR","Villa Maria Grande","3427399"
"AR","Aranguren","3865585"
"AR","Diamante","3859384"
"AR","Gualeguaychu","3433658"
